cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7
12414,2025-07-23,9.87,9.87,1,0.0,5.14,1.0,5.14,1.0,5.14,1.0
13058,2025-07-09,0.82,0.82,1,1.0,1.97,3.0,1.97,3.0,7.109999999999999,4.0
13058,2025-07-17,1.79,0.76,3,0.0,0.82,1.0,2.79,4.0,7.93,5.0
13058,2025-07-24,2.31,1.05,3,0.0,1.79,3.0,4.58,7.0,9.719999999999999,8.0
13058,2025-07-30,0.91,0.54,2,0.0,2.31,3.0,4.92,7.0,12.03,11.0
13058,2025-07-31,1.47,1.19,2,1.0,0.91,2.0,5.01,8.0,7.8,12.0
15517,2025-07-02,5.869999999999999,2.26,3,1.0,8.4,2.0,8.4,2.0,8.4,2.0
15517,2025-07-06,10.239999999999998,3.05,4,0.0,5.869999999999999,3.0,14.27,5.0,14.27,5.0
15517,2025-07-20,66.17,11.96,9,0.0,10.239999999999998,4.0,24.509999999999998,9.0,24.509999999999998,9.0
15517,2025-07-26,140.86,59.56,3,0.0,66.17,9.0,82.28,16.0,90.68,18.0
18496,2025-07-09,1.02,0.42,3,1.0,2.18,3.0,2.18,3.0,2.18,3.0
18496,2025-07-10,1.74,0.82,4,1.0,1.02,3.0,3.2,6.0,3.199999999999986,6.0
18496,2025-07-17,0.76,0.5,2,0.0,1.74,4.0,4.94,10.0,4.939999999999986,10.0
18503,2025-07-09,0.45,0.45,1,1.0,1.87,3.0,3.6100000000000003,7.0,6.809999999999986,13.0
18503,2025-07-10,0.62,0.62,1,1.0,0.45,1.0,2.3200000000000003,4.0,7.2599999999999865,14.0
18503,2025-07-17,0.56,0.56,1,0.0,0.62,1.0,2.9400000000000004,5.0,7.879999999999987,15.0
18503,2025-07-18,1.25,0.87,2,1.0,0.56,1.0,1.6300000000000001,3.0,6.2599999999999865,13.0
18503,2025-07-24,0.35,0.35,1,0.0,1.25,2.0,2.43,4.0,6.489999999999986,12.0
18503,2025-07-30,1.6099999999999999,0.65,3,0.0,0.35,1.0,2.16,4.0,5.099999999999985,9.0
18503,2025-07-31,0.66,0.66,1,1.0,1.6099999999999999,3.0,3.21,6.0,6.709999999999986,12.0
