latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,acq_datetime_utc,confidence_cat,confidence_num,date
33.71575,-117.71169,302.26,0.48,0.65,2025-07-01,845,N20,VIIRS,n,2.0NRT,287.69,0.69,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
34.15163,-118.19743,301.12,0.52,0.67,2025-07-01,845,N20,VIIRS,n,2.0NRT,286.64,0.64,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
34.43327,-118.64594,298.84,0.55,0.68,2025-07-01,845,N20,VIIRS,n,2.0NRT,287.55,0.39,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
34.60629,-117.33533,303.55,0.47,0.64,2025-07-01,845,N20,VIIRS,n,2.0NRT,291.19,0.84,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
34.60659,-117.34089,301.31,0.47,0.64,2025-07-01,845,N20,VIIRS,n,2.0NRT,289.42,0.84,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
34.61035,-117.33772,316.9,0.47,0.64,2025-07-01,845,N20,VIIRS,n,2.0NRT,292.73,1.76,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
34.62197,-117.10059,303.0,0.45,0.63,2025-07-01,845,N20,VIIRS,n,2.0NRT,292.27,0.64,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
36.35728,-114.91035,312.72,0.35,0.57,2025-07-01,845,N20,VIIRS,n,2.0NRT,297.38,2.93,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
36.35759,-114.91373,306.72,0.35,0.57,2025-07-01,845,N20,VIIRS,n,2.0NRT,296.34,1.39,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
36.35732,-114.90987,309.75,0.35,0.57,2025-07-01,845,N20,VIIRS,n,2.0NRT,297.08,1.39,N,2025-07-01 08:45:00+00:00,nominal,,2025-07-01
32.71577,-114.75581,323.44,0.63,0.54,2025-07-01,848,N20,VIIRS,n,2.0NRT,298.44,5.3,N,2025-07-01 08:48:00+00:00,nominal,,2025-07-01
36.3584,-114.91325,306.9,0.54,0.68,2025-07-01,1026,N20,VIIRS,n,2.0NRT,295.3,2.06,N,2025-07-01 10:26:00+00:00,nominal,,2025-07-01
36.08385,-119.14045,302.57,0.32,0.55,2025-07-01,1026,N20,VIIRS,n,2.0NRT,289.66,0.32,N,2025-07-01 10:26:00+00:00,nominal,,2025-07-01
34.15433,-118.19361,309.6,0.41,0.6,2025-07-01,1028,N20,VIIRS,n,2.0NRT,287.17,0.8,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
33.71792,-117.71144,301.82,0.44,0.63,2025-07-01,1028,N20,VIIRS,n,2.0NRT,287.25,0.79,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
34.33355,-118.52212,301.98,0.39,0.59,2025-07-01,1028,N20,VIIRS,n,2.0NRT,287.09,0.42,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
34.43102,-118.64461,307.18,0.38,0.59,2025-07-01,1028,N20,VIIRS,n,2.0NRT,287.35,0.75,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
34.35632,-116.85345,302.91,0.48,0.65,2025-07-01,1028,N20,VIIRS,n,2.0NRT,290.38,0.79,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
34.61004,-117.33566,321.38,0.44,0.63,2025-07-01,1028,N20,VIIRS,n,2.0NRT,291.61,2.96,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
34.62216,-117.10048,307.1,0.46,0.63,2025-07-01,1028,N20,VIIRS,n,2.0NRT,292.97,1.35,N,2025-07-01 10:28:00+00:00,nominal,,2025-07-01
32.70016,-115.55592,351.31,0.62,0.54,2025-07-01,2006,N20,VIIRS,n,2.0NRT,312.71,28.62,D,2025-07-01 20:06:00+00:00,nominal,,2025-07-01
32.70495,-115.55744,351.05,0.62,0.54,2025-07-01,2006,N20,VIIRS,n,2.0NRT,318.72,55.61,D,2025-07-01 20:06:00+00:00,nominal,,2025-07-01
36.52265,-118.89273,353.38,0.38,0.59,2025-07-01,2008,N20,VIIRS,n,2.0NRT,312.64,27.56,D,2025-07-01 20:08:00+00:00,nominal,,2025-07-01
36.52477,-118.89324,367.0,0.5,0.66,2025-07-01,2148,N20,VIIRS,h,2.0NRT,312.25,36.9,D,2025-07-01 21:48:00+00:00,high,,2025-07-01
36.52452,-118.89938,351.82,0.5,0.66,2025-07-01,2148,N20,VIIRS,n,2.0NRT,315.61,29.79,D,2025-07-01 21:48:00+00:00,nominal,,2025-07-01
32.71408,-114.76119,304.95,0.6,0.71,2025-07-02,828,N20,VIIRS,n,2.0NRT,293.94,2.26,N,2025-07-02 08:28:00+00:00,nominal,,2025-07-02
36.35654,-114.91473,307.25,0.65,0.73,2025-07-02,828,N20,VIIRS,n,2.0NRT,290.94,3.62,N,2025-07-02 08:28:00+00:00,nominal,,2025-07-02
34.14176,-117.42959,295.01,0.49,0.49,2025-07-02,1009,N20,VIIRS,n,2.0NRT,283.63,0.48,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
35.12358,-118.36829,301.25,0.42,0.45,2025-07-02,1009,N20,VIIRS,n,2.0NRT,290.53,0.99,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
36.35597,-114.91264,305.31,0.6,0.53,2025-07-02,1009,N20,VIIRS,n,2.0NRT,293.07,2.03,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.62201,-117.10245,311.73,0.5,0.49,2025-07-02,1009,N20,VIIRS,n,2.0NRT,291.34,1.47,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
33.79586,-117.47397,301.31,0.5,0.49,2025-07-02,1009,N20,VIIRS,n,2.0NRT,287.84,1.07,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.03951,-117.82075,299.4,0.47,0.48,2025-07-02,1009,N20,VIIRS,n,2.0NRT,287.6,0.24,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.15188,-118.1933,310.82,0.45,0.47,2025-07-02,1009,N20,VIIRS,n,2.0NRT,286.31,1.08,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.15509,-118.19037,306.41,0.45,0.47,2025-07-02,1009,N20,VIIRS,n,2.0NRT,287.51,0.85,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.2927,-118.80148,298.15,0.41,0.45,2025-07-02,1009,N20,VIIRS,n,2.0NRT,286.0,0.62,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.07917,-117.50036,305.51,0.49,0.48,2025-07-02,1009,N20,VIIRS,n,2.0NRT,289.0,1.13,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.40221,-118.99696,297.06,0.4,0.44,2025-07-02,1009,N20,VIIRS,n,2.0NRT,286.64,0.41,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.32148,-118.51208,301.14,0.43,0.46,2025-07-02,1009,N20,VIIRS,n,2.0NRT,286.04,0.55,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.60983,-117.33382,312.82,0.49,0.48,2025-07-02,1009,N20,VIIRS,n,2.0NRT,290.91,3.31,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.35253,-116.85242,304.7,0.52,0.5,2025-07-02,1009,N20,VIIRS,n,2.0NRT,290.55,1.43,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.42996,-118.6444,307.6,0.42,0.45,2025-07-02,1009,N20,VIIRS,n,2.0NRT,287.3,1.53,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
34.33391,-118.51984,308.52,0.42,0.46,2025-07-02,1009,N20,VIIRS,n,2.0NRT,287.88,1.03,N,2025-07-02 10:09:00+00:00,nominal,,2025-07-02
35.46432,-119.60278,367.0,0.79,0.78,2025-07-02,1947,N20,VIIRS,h,2.0NRT,307.61,12.28,D,2025-07-02 19:47:00+00:00,high,,2025-07-02
34.45673,-114.35658,340.0,0.44,0.62,2025-07-02,1949,N20,VIIRS,n,2.0NRT,306.76,10.43,D,2025-07-02 19:49:00+00:00,nominal,,2025-07-02
35.10902,-120.00085,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,307.13,103.02,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.10287,-120.01943,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,330.94,39.75,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.10425,-120.00492,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,370.15,417.1,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.10472,-119.99996,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,353.91,417.1,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.10153,-120.0334,353.94,0.45,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,326.26,51.01,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.10574,-119.98939,356.34,0.46,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,302.36,241.59,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.10624,-119.98422,354.58,0.46,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,302.48,26.29,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.1006,-120.04313,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,348.8,158.09,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.11236,-120.02879,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,344.32,194.17,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.10106,-120.03828,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,359.6,158.09,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.10199,-120.02858,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,336.32,51.01,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.10331,-120.01476,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,347.09,73.08,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.10378,-120.0099,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,348.39,73.08,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.09584,-120.04709,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,329.66,61.17,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.09723,-120.0326,353.88,0.45,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,332.39,51.01,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.09769,-120.02776,354.94,0.45,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,331.39,51.01,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.10041,-119.99922,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,372.82,417.1,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.10089,-119.99426,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,l,2.0NRT,372.12,241.59,D,2025-07-02 21:27:00+00:00,low,,2025-07-02
35.09631,-120.04227,355.64,0.45,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,326.42,158.09,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.09676,-120.03746,354.7,0.45,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,326.53,158.09,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.09859,-120.0183,356.48,0.45,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,323.45,39.75,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.10192,-119.98351,356.22,0.46,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,299.32,26.29,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.10283,-119.97388,347.45,0.46,0.47,2025-07-02,2127,N20,VIIRS,n,2.0NRT,298.85,13.25,D,2025-07-02 21:27:00+00:00,nominal,,2025-07-02
35.09814,-120.02302,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,325.53,39.75,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.09905,-120.01357,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,321.84,73.08,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.09951,-120.00874,367.0,0.45,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,320.3,73.08,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.09996,-120.00394,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,343.37,417.1,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
35.10142,-119.98871,367.0,0.46,0.47,2025-07-02,2127,N20,VIIRS,h,2.0NRT,335.32,241.59,D,2025-07-02 21:27:00+00:00,high,,2025-07-02
